,,Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Moon
Parent,,,Sun,Sun,Sun,Sun,Sun,Sun,Sun,Sun,Sun,Earth
Diameter,km,1391016,4879,12104,12756,6792,142984,120536,51118,49528,2370,3475
Rotation Period,hours,0,1407.6,-5832.5,23.9,24.6,9.9,10.7,-17.2,16.1,-153.3,655.7
Perihelion,km,0,46.0,107.5,147.1,206.6,740.5,1352.6,2741,4444,4436,0.363
Aphelion,km,0,69.8,108.9,152.1,249.2,816.6,1514.5,3003,4545,7375,0.406
Orbital Period,days,0,88.0,224.7,365.2,687.0,4331,10747,30589,59800,90560,27.3
Orbital Velocity,km/s,0,47.4,35.0,29.8,24.1,13.1,9.7,6.8,5.4,4.7,1.0
Orbital Inclination,degrees,0,7.0,3.4,0.0,1.9,1.3,2.5,0.8,1.8,17.2,5.1
Orbital Eccentricity,,0,0.205,0.007,0.0017,0.094,0.049,0.057,0.046,0.011,0.244,0.055
Number of Moons,,0,0,0,1,2,79,62,27,14,5,0
Ring System,bool,No,No,No,No,No,No,Yes,Yes,No,No,No
Night Light,bool,No,No,No,Yes,No,No,No,No,No,No,No
